number_of__talk__download_languages,comment_count,number_of__subtitled_videos,number_of__talk__more_resources,work_tag,number_of__talk__recommendations,growth_tag,personal_tag,success_tag,author_occupation,leadership_tag,psychology_tag,business_tag,brain_tag,psychologist_occupation,happiness_tag,number_of__talks__take_actions,age_months,ted salon talk  partner _video,duration,self_tag,ted institute talk_video,communication_tag,subjectivity,ted stage talk_video,ted  original_video,engineer_occupation,researcher_occupation,artist_occupation,teaching_tag,writer_occupation,technology_tag,best web_video,tedx talk_video,body_tag,philosopher_occupation,comedian_occupation,original content_video,comedy_tag,entrepreneur_tag
46,454.0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,379,0,0,0,0.5796550671550672,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,358.0,38,2,0,0,0,0,0,0,0,1,0,1,0,0,0,129,0,1128,0,0,0,0.4495138346777693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,126.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,888,0,0,0,0.4550916531385282,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,75.0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,695,0,0,0,0.4691928420416791,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,392.0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,1,106,0,470,0,0,0,0.4765575396825397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,212.0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,0,664,0,1,0,0.4789040551285448,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,288.6666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,288,0,0,0,0.4088768115942029,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,365.33333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,279,0,0,0,0.5262063492063491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,442.0,37,2,0,0,0,0,0,0,0,0,0,1,0,0,0,82,0,1306,0,0,0,0.5040160894660894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,239.0,40,0,0,0,1,1,0,0,0,0,0,0,0,0,1,17,1,645,0,0,1,0.5130087316311804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,490.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,881,0,0,0,0.501141942453418,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,521.0,47,1,1,1,0,0,1,0,0,0,0,0,0,0,1,130,0,1011,0,0,0,0.5269496668744789,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,243,0,0,0,0.4435185185185185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,478.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,272,0,0,0,0.4113315696649031,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,456.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,292,0,0,0,0.4355122655122655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,435.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1047,0,0,0,0.538108162064473,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,566.0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,1037,0,0,0,0.5876992292115749,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23,485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,503,0,0,0,0.4353646658219829,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
